ID,RecordDOI,RecordURL,Title,PublicationDate,Authors,ARCURL
fthbz-ctq35,https://doi.org/10.60534/fthbz-ctq35,https://archive.nfdi4plants.org/records/fthbz-ctq35,RatioLFQ Evaluation,2026-01-20,"Ott, Caroline, Sommer, Frederik",https://git.nfdi4plants.org/projects/3444
gs9cw-7qp70,https://doi.org/10.60534/gs9cw-7qp70,https://archive.nfdi4plants.org/records/gs9cw-7qp70,T7 RNA polymerase-based gene expression from a transcriptionally silent rDNA spacer in the endosymbiont-harboring trypanosomatid Angomonas deanei,2026-01-12,"Kröninger, Lena, Maurya, Anay Kumar, Stiebeling, Christian, Stirba, Florian, Kim, Zio, Nowack, Eva",https://git.nfdi4plants.org/projects/2480
7de3v-7mk38,https://doi.org/10.60534/7de3v-7mk38,https://archive.nfdi4plants.org/records/7de3v-7mk38,Biosensor-based growth-coupling as an evolutionary strategy towards elevated hrtB expression in Corynebacterium glutamicum,2026-01-12,"Krüger, Aileen, Göddecke, Janik, Osthege, Michael, Navratil, Luis, Weber, Ulrike, Oldiges, Marco, Frunzke, Julia",https://git.nfdi4plants.org/projects/1582
j7b3e-wb995,https://doi.org/10.60534/j7b3e-wb995,https://archive.nfdi4plants.org/records/j7b3e-wb995,In vivo online monitoring of intracellular lipid accumulation in Ustilago maydis,2025-10-09,"Feldbrügge, Michael, Müntjes, Kira, Mann, Marcel, Richter, Paul, Philipp, Magnus, Plücker, Lesley, Schipper, Kerstin",https://git.nfdi4plants.org/projects/3204
a5mmq-wmq36,https://doi.org/10.60534/a5mmq-wmq36,https://archive.nfdi4plants.org/records/a5mmq-wmq36,A critical role of sux cistron-mediated sucrose uptake for virulence of the rice blight pathogen Xanthomonas oryzae pv. oryzae,2025-06-12,"Zöllner, Nora R., Sharkey, Jacob E., Frommer, Wolf B.",https://git.nfdi4plants.org/projects/2792
yshyf-ew334,https://doi.org/10.60534/yshyf-ew334,https://archive.nfdi4plants.org/records/yshyf-ew334,A novel biosensor for ferrous iron developed via CoBiSe: A computational method for rapid biosensor design,2025-11-23,"Papadopoulos, Athanasios, Anlauf, Manuel, Reiners, Jens, Paik, Sueng-Hyun, Krueger, Aileen, Lueckel, Benita, Bott, Michael, Drepper, Thomas, Frunzke, Julia, Gohlke, Holger, Weidtkamp-Peters, Stefanie, Smits, Sander, Gertzen, Christoph",https://git.nfdi4plants.org/projects/3371/
2pajy-nd415,https://doi.org/10.60534/2pajy-nd415,https://archive.nfdi4plants.org/records/2pajy-nd415,Genome-wide analysis of DtxR and HrrA regulons reveals novel targets and a high level of interconnectivity between iron and heme regulatory networks in Corynebacterium glutamicum,2025-12-01,"Krüger, Aileen, Frunzke, Julia, Weber, Ulrike",https://git.nfdi4plants.org/projects/2342
esr6h-hjx96,https://doi.org/10.60534/esr6h-hjx96,https://archive.nfdi4plants.org/records/esr6h-hjx96,The effect of FLOWERING LOCUS T1 (FT1) on the barley transcriptome,2025-12-02,"Helmsorig, Gesa, Lan, Tianyu, Haraldsson, Einar Baldvin, Rütjes, Thea, Westhoff, Philipp, Weber, Katrin, Kumlehn, Jochen, Hensel, Götz, Simon, Rüdiger, von Korff, Maria",https://git.nfdi4plants.org/projects/1636/
zzweq-8sv89,https://doi.org/10.60534/zzweq-8sv89,https://archive.nfdi4plants.org/records/zzweq-8sv89,Evidence for rapid hydrolysis of shoot-derived sucrose using an ultrasensitive ratiometric Matryoshka-type MGlucoMeter sensor,2025-12-02,"Ishikawa, Yuuma, Zöllner, Nora R., Paradies, Suanne, Frommer, Wolf B.",https://git.nfdi4plants.org/projects/3272/
8rtx8-pc611,https://doi.org/10.60534/8rtx8-pc611,https://archive.nfdi4plants.org/records/8rtx8-pc611,The Spirogyra genome: signatures of shared and divergent division and differentiation,2025-12-02,"Rensing, Stefan, de Vries, Jan, Varshney, Deepti, Hiltemann, Saskia",https://git.nfdi4plants.org/projects/1600/
